slug,display_name_en,category,muscle_group,confidence,duplicate_of_existing_slug,source_folder_en,source_filename_reference_only,unresolved_terms_debug,source_abs_path
abdominal-bicycle-1,Abdominal bicycle 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Abdominal bicleta (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Abdominal bicleta (1).gif
abdominal-with-rotation-of-trunk-1,Abdominal with rotation of trunk 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Abdominal com rotação de tronco (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Abdominal com rotação de tronco (1).gif
abdominal-decline-1,Abdominal decline 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Abdominal declinado (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Abdominal declinado (1).gif
abdominal-holding-ball-1,Abdominal holding ball 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Abdominal pegando a bola (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Abdominal pegando a bola (1).gif
abs-ab-wheel-1,Abs ab wheel 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS  rolinho (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS  rolinho (1).gif
abs-alternating-with-rotation-1,Abs alternating with rotation 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS alternado com rotação (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS alternado com rotação (1).gif
abs-alternating-legs-1,Abs alternating legs 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS alternando pernas (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS alternando pernas (1).gif
abs-bench-1,Abs bench 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Abs banco (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Abs banco (1).gif
abs-bench-decline-full-1,Abs bench decline full 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS banco declinado completo (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS banco declinado completo (1).gif
abs-ball-flexion-of-hip-1,Abs ball flexion of hip 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Abs bola flexão de quadril (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Abs bola flexão de quadril (1).gif
abs-butterfly-1,Abs butterfly 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS borboleta (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS borboleta (1).gif
abs-load-on-feet-1,Abs load on feet 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS carga nos pés (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS carga nos pés (1).gif
abs-with-flexion-lateral-1,Abs with flexion lateral 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS com flexão lateral (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS com flexão lateral (1).gif
abs-full-1,Abs full 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS completo (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS completo (1).gif
abs-full-touching-feet-1,Abs full touching feet 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Abs completo tocando os pés (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Abs completo tocando os pés (1).gif
abs-short-legs-raised-1,Abs short legs raised 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS curto pernas elevadas (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS curto pernas elevadas (1).gif
abs-flow-1,Abs flow 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Abs flog (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Abs flog (1).gif
abs-lower-1,Abs lower 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS infra (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS infra (1).gif
abs-lower-supported-1,Abs lower supported 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Abs infra apoiado (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Abs infra apoiado (1).gif
abs-isometric-alternating-legs-1,Abs isometric alternating legs 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Abs isométrico alternando pernas (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Abs isométrico alternando pernas (1).gif
abs-lateral-1,Abs lateral 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),Abs lateral (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\Abs lateral (1).gif
abs-machine-1,Abs machine 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS máquina (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS máquina (1).gif
abs-oblique-1,Abs oblique 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS obliquo (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS obliquo (1).gif
abs-oblique-3-1,Abs oblique 3 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS oblíquo 3 (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS oblíquo 3 (1).gif
abs-oblique-legs-extended-1,Abs oblique legs extended 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS oblíquo pernas extendidas (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS oblíquo pernas extendidas (1).gif
abs-legs-alternating-1,Abs legs alternating 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABs pernas alternando (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABs pernas alternando (1).gif
abs-pulley-high-1,Abs pulley high 1,strength,core_abs,high,no,Strength / Core Abs (ABDOMEN CORE (1)),ABS polia alta (1).gif,,C:\Users\ADMIN\Desktop\gif exercises\BIBLIOTECA DE EJERCICIOS\5° GIFs DE MUSCULACIÓN\ABDOMEN CORE (1)\ABS polia alta (1).gif
