category,slug,filename,duration_seconds,fps,width,height,orientation,step_type,reps_per_loop,rep_seconds,travel,source
01_Squat,bodyweight-squat,01_bodyweight-squat.mp4,5.04,24.0,960,960,square,reps,2,2.52,0.1,reviewed
01_Squat,box-squat,02_box-squat.mp4,3.07,30.0,960,960,square,reps,1,3.07,0.268,reviewed
01_Squat,bulgarian-split-squat,03_bulgarian-split-squat.mp4,5.5,30.0,960,960,square,reps,2,2.75,0.063,reviewed
01_Squat,goblet-squat,04_goblet-squat.mp4,5.04,24.0,960,960,square,reps,1,5.04,0.061,reviewed
01_Squat,split-squat,05_split-squat.mp4,5.04,24.0,960,960,square,reps,2,2.52,0.224,reviewed
01_Squat,squat-to-chair,06_squat-to-chair.mp4,2.93,30.0,960,960,square,reps,1,2.93,0.118,reviewed
01_Squat,sumo-goblet-squat,07_sumo-goblet-squat.mp4,3.2,30.0,960,960,square,reps,1,3.2,0.131,reviewed
01_Squat,tempo-squat,08_tempo-squat.mp4,6.13,30.0,960,960,square,reps,1,6.13,0.15,reviewed
01_Squat,wall-sit,09_wall-sit.mp4,5.04,24.0,960,960,square,hold,,,0.071,reviewed
02_Hinge,band-pull-through,01_band-pull-through.mp4,3.07,30.0,960,960,square,reps,1,3.07,0.136,reviewed
02_Hinge,glute-bridge-march,02_glute-bridge-march.mp4,5.6,30.0,832,1104,portrait,reps,2,2.8,0.275,reviewed
02_Hinge,glute-bridge,03_glute-bridge.mp4,5.04,24.0,960,960,square,reps,1,5.04,0.038,reviewed
02_Hinge,good-morning-with-band,04_good-morning-with-band.mp4,3.2,30.0,960,960,square,reps,2,1.6,0.136,reviewed
02_Hinge,hip-thrust,05_hip-thrust.mp4,3.07,30.0,960,960,square,reps,2,1.53,0.104,reviewed
02_Hinge,hip-hinge-drill,06_hip-hinge-drill.mp4,5.04,24.0,960,960,square,reps,1,5.04,0.079,reviewed
02_Hinge,kickstand-rdl,07_kickstand-rdl.mp4,4.2,30.0,960,960,square,reps,1,4.2,0.07,reviewed
02_Hinge,romanian-deadlift-db,08_romanian-deadlift-db.mp4,5.04,24.0,960,960,square,reps,2,2.52,0.134,reviewed
02_Hinge,single-leg-rdl-supported,09_single-leg-rdl-supported.mp4,5.04,24.0,960,960,square,reps,2,2.52,0.148,reviewed
03_Lunge,curtsy-lunge,01_curtsy-lunge.mp4,5.3,30.0,960,960,square,reps,2,2.65,0.128,reviewed
03_Lunge,forward-lunge,02_forward-lunge.mp4,3.7,30.0,960,960,square,reps,2,1.85,0.11,reviewed
03_Lunge,lateral-lunge-short-range,03_lateral-lunge-short-range.mp4,5.04,24.0,960,960,square,reps,2,2.52,0.095,reviewed
03_Lunge,reverse-lunge,04_reverse-lunge.mp4,5.04,24.0,960,960,square,reps,2,2.52,0.166,reviewed
03_Lunge,static-lunge,05_static-lunge.mp4,5.04,24.0,960,960,square,reps,2,2.52,0.059,reviewed
03_Lunge,step-up,06_step-up.mp4,5.3,30.0,960,960,square,reps,2,2.65,0.136,reviewed
