category,slug,filename,duration_seconds,fps,width,height,orientation,step_type,reps_per_loop,rep_seconds,travel,source
01_Squat,bodyweight-squat-hands-clasped,01_bodyweight-squat-hands-clasped.mp4,13.97,30.0,802,798,square,reps,6,2.33,0.131,measured
01_Squat,swiss-ball-squat,02_swiss-ball-squat.mp4,15.93,30.0,778,576,landscape,reps,2,7.97,0.149,measured
02_Hinge,donkey-kick,01_donkey-kick.mp4,6.07,30.0,1196,728,landscape,reps,1,6.07,0.928,measured
02_Hinge,donkey-kick-kneeling,02_donkey-kick-kneeling.mp4,20.3,30.0,922,464,landscape,reps,1,20.3,0.21,measured
02_Hinge,fire-hydrant-forearm,03_fire-hydrant-forearm.mp4,53.3,30.0,1262,758,landscape,reps,1,53.3,0.54,measured
02_Hinge,swiss-ball-glute-bridge,04_swiss-ball-glute-bridge.mp4,36.4,30.0,924,446,landscape,reps,1,36.4,0.256,measured
02_Hinge,side-lying-leg-raise,05_side-lying-leg-raise.mp4,21.73,30.0,778,470,landscape,reps,6,3.62,0.332,measured
02_Hinge,side-lying-hip-abduction,06_side-lying-hip-abduction.mp4,20.73,30.0,1274,736,landscape,reps,1,20.73,0.43,measured
02_Hinge,down-dog-glute-kickback,07_down-dog-glute-kickback.mp4,12.27,30.0,796,554,landscape,reps,2,6.13,0.193,measured
07_Core_Rotation,jumping-jacks,01_jumping-jacks.mp4,8.07,30.0,1156,1080,landscape,reps,7,1.15,0.12,measured
07_Core_Rotation,crunch,02_crunch.mp4,17.1,30.0,944,494,landscape,reps,1,17.1,0.349,measured
07_Core_Rotation,sit-up,03_sit-up.mp4,26.6,30.0,1208,854,landscape,reps,8,3.33,0.545,measured
07_Core_Rotation,reverse-crunch,04_reverse-crunch.mp4,18.47,30.0,822,504,landscape,reps,1,18.47,0.369,measured
07_Core_Rotation,lying-leg-raise,05_lying-leg-raise.mp4,10.63,30.0,724,648,landscape,reps,2,5.32,0.17,measured
07_Core_Rotation,scissor-kicks,06_scissor-kicks.mp4,18.47,30.0,1002,648,landscape,reps,2,9.23,0.243,measured
07_Core_Rotation,crossed-scissor-kicks,07_crossed-scissor-kicks.mp4,53.1,30.0,1144,826,landscape,reps,2,26.55,0.157,measured
07_Core_Rotation,v-up-with-ball,08_v-up-with-ball.mp4,15.27,30.0,942,518,landscape,reps,1,15.27,0.219,measured
07_Core_Rotation,swiss-ball-dead-bug,09_swiss-ball-dead-bug.mp4,24.2,30.0,956,498,landscape,reps,7,3.46,0.336,measured
07_Core_Rotation,swiss-ball-ball-pass,10_swiss-ball-ball-pass.mp4,13.77,30.0,906,500,landscape,reps,1,13.77,0.292,measured
07_Core_Rotation,swiss-ball-plank,11_swiss-ball-plank.mp4,5.03,30.0,862,532,landscape,hold,,,0.156,reviewed
07_Core_Rotation,swiss-ball-forearm-plank,12_swiss-ball-forearm-plank.mp4,5.5,30.0,918,478,landscape,hold,,,0.129,reviewed
07_Core_Rotation,side-plank-arm-raise,13_side-plank-arm-raise.mp4,7.73,30.0,810,496,landscape,hold,,,0.194,reviewed
07_Core_Rotation,side-plank-leg-raise,14_side-plank-leg-raise.mp4,7.27,30.0,822,504,landscape,reps,2,3.63,0.173,measured
07_Core_Rotation,side-plank-reach-under,15_side-plank-reach-under.mp4,18.47,30.0,882,718,landscape,reps,2,9.23,0.235,measured
07_Core_Rotation,forearm-plank-leg-abduction,16_forearm-plank-leg-abduction.mp4,31.37,30.0,1306,688,landscape,reps,1,31.37,0.716,measured
07_Core_Rotation,prone-superman,17_prone-superman.mp4,34.93,30.0,1176,836,landscape,reps,1,34.93,1.134,measured
07_Core_Rotation,prone-superman-arms-overhead,18_prone-superman-arms-overhead.mp4,53.83,30.0,1294,732,landscape,reps,1,53.83,0.363,measured
07_Core_Rotation,prone-superman-arms-back,19_prone-superman-arms-back.mp4,57.27,30.0,1330,742,landscape,reps,1,57.27,0.5,measured
07_Core_Rotation,prone-t-raise,20_prone-t-raise.mp4,25.9,30.0,1350,738,landscape,reps,1,25.9,0.757,measured
07_Core_Rotation,prone-superman-alternating-arms,21_prone-superman-alternating-arms.mp4,66.73,30.0,1228,708,landscape,reps,1,66.73,0.435,measured
07_Core_Rotation,prone-t-hold,22_prone-t-hold.mp4,34.37,30.0,1194,848,landscape,hold,,,0.886,reviewed
07_Core_Rotation,prone-back-extension,23_prone-back-extension.mp4,27.67,30.0,928,490,landscape,reps,1,27.67,0.907,measured
08_Recovery,sphinx-press,01_sphinx-press.mp4,61.87,30.0,1364,712,landscape,reps,2,30.93,0.324,measured
08_Recovery,pigeon-pose,02_pigeon-pose.mp4,30.23,30.0,1248,750,landscape,hold,,,0.859,reviewed
08_Recovery,standing-forward-fold,03_standing-forward-fold.mp4,43.07,30.0,1172,1080,landscape,hold,,,0.221,reviewed
08_Recovery,standing-toe-touch,04_standing-toe-touch.mp4,60.83,30.0,1110,994,landscape,reps,1,60.83,0.234,measured
